Country,Date
Afghanistan,"19 August, 1919"
Albania,"28 November, 1912"
Algeria,"5 July, 1962"
Angola,"11 November, 1975"
Antigua and Barbuda,"1 November, 1981"
Argentina,"9 July, 1816"
Armenia,"28 mayo, 1918"
,"21 September, 1991"
Azerbaijan,"28 mayo, 1918"
,"18 October, 1991"
"Bahamas, The","10 July, 1973"
Bahrain,"16 December, 1971"
Bangladesh,"26 March, 1971"
,"16 December, 1971"
Barbados,"30 November, 1966"
Belarus,"3 July, 1991"
Belgium,"21 July, 1831"
Belize,"21 September, 1981"
Benin,"1 August, 1960"
Bhutan,"17 December, 1907"
Bolivia,"6 August, 1825"
Bosnia and Herzegovina,"1 March, 1992"
Botswana,"30 September, 1966"
Brazil,"7 September, 1822"
Brunei,"23 February, 1984"
Bulgaria,"3 March, 1878"
,"22 September, 1908"
Burkina Faso,"11 December, 1958"
,"5 August, 1960"
Burundi,"1 July, 1962"
Cambodia,"9 November, 1953"
Cameroon,"20 may, 1960"
Canada,"1 July, 1867"
Cape Verde,"5 July, 1975"
Central African Republic,"1 December, 1958"
,"13 August, 1960"
Chad,"28 November, 1958"
,"11 August, 1960"
Chile,"18 September, 1810"
Colombia,"20 July, 1810"
Comoros,"6 July, 1975"
"Congo, Democratic Republic of the","30 June, 1960"
"Congo, Republic of the","28 November, 1958"
,"15 August, 1960"
Costa Rica,"15 September, 1821"
Croatia,"30 may, 1990"
Cuba,"10 October, 1868"
Cyprus,"1 October, 1960"
Czech Republic,"28 October, 1918"
,"1 January, 1993"
Djibouti,"27 June, 1977"
Dominica,"3 November, 1978"
Dominican Republic,"27 February, 1821"
East Timor,"28 November, 1975"
Ecuador,"10 August, 1809"
Egypt,"23 July, 1952"
El Salvador,"15 September, 1821"
Equatorial Guinea,"12 October, 1968"
Eritrea,"24 may, 1991"
Estonia,"24 February, 1918"
,"20 August, 1991"
Fiji,"10 October, 1970"
Finland,"6 December, 1917"
Gabon,"17 August, 1960"
"Gambia, The","18 February, 1965"
Georgia,"26 may, 1918"
,"9 April, 1991"
Germany,"3 October, 1990"
Ghana,"6 March, 1957"
Greece,"25 March, 1821"
Grenada,"7 February, 1974"
Guatemala,"15 September, 1821"
Guinea,"2 October, 1958"
Guinea-Bissau,"24 September, 1973"
Guyana,"26 may, 1966"
Haiti,"1 January, 1804"
Honduras,"15 September, 1821"
Hungary,"June, 1991"
Iceland,"17 June, 1944"
India,"15 August, 1947"
Indonesia,"17 August, 1945"
Iran,"1 April, 1979"
Iraq,"3 October, 1932"
Israel,"15 may, 1948"
Ivory Coast,"7 August, 1960"
